column,Q1,Q3,IQR,lower_bound,upper_bound,outlier_count,outlier_percentage
soil_moisture,15.18124692778565,25.260337171727148,10.079090243941497,0.06261156187340511,40.37897253763939,44,0.09082652134423251
soil_moisture_change,-5.927391808314582,6.092686698317269,12.020078506631851,-23.95750956826236,24.122804458265048,0,0.0
soil_moisture_rolling_mean,18.498320660117184,21.79170211516661,3.2933814550494276,13.558248477543042,26.731774297740753,242,0.49954586739327883
soil_moisture_stress,0.0,6.818753072214349,6.818753072214349,-10.228129608321524,17.046882680535873,0,0.0
hour,6.0,17.0,11.0,-10.5,33.5,0,0.0
day_of_week,1.0,5.0,4.0,-5.0,11.0,0,0.0
day_of_month,5.0,12.0,7.0,-5.5,22.5,0,0.0
temperature,28.4,28.4,0.0,28.4,28.4,44,0.09082652134423251
humidity,57.0,57.0,0.0,57.0,57.0,44,0.09082652134423251
rainfall,0.0,0.0,0.0,0.0,0.0,22,0.045413260672116255
rain_probability,0.0,0.0,0.0,0.0,0.0,22,0.045413260672116255
growth_stage_multiplier,0.9,1.1,0.20000000000000007,0.5999999999999999,1.4000000000000001,0,0.0
crop_soil_moisture_mean,19.86387994060312,20.456370694676192,0.5924907540730722,18.97514380949351,21.3451068257858,2202,4.545454545454546
crop_temperature_mean,22.7657254967,28.1949204842,5.429194987500001,14.621933015449999,36.33871296545,0,0.0
crop_humidity_mean,58.8698463003,90.1255037895,31.255657489200004,11.98636006649999,137.00899002330002,0,0.0
crop_rainfall_mean,67.8841511832,142.6278388629,74.7436876797,-44.23138033635,254.74337038245,0,0.0
crop_irrigation_frequency_mean,3.44,3.6,0.16000000000000014,3.1999999999999997,3.8400000000000003,2202,4.545454545454546
crop_density_mean,11.91956026372743,12.736928950858182,0.8173686871307524,10.693507233031301,13.96298198155431,0,0.0
crop_pest_pressure_mean,47.63066163560279,53.184849115691534,5.554187480088743,39.29938041546968,61.51613033582465,0,0.0
crop_fertilizer_usage_mean,122.68016641155366,128.2077152139177,5.527548802364052,114.38884320800759,136.4990384174638,0,0.0
crop_frost_risk_mean,48.284366204013,52.17193052123321,3.8875643172202103,42.45301972818268,58.00327699706352,0,0.0
crop_water_efficiency_mean,2.9418009559925435,3.090316844749668,0.14851588875712451,2.7190271228568568,3.313090677885355,0,0.0
crop_water_factor,0.9707742444263888,1.0197834744355845,0.04900923000919566,0.8972603994125954,1.093297319449378,0,0.0
water_quantity_liters,0.0,22.17,22.17,-33.255,55.425000000000004,0,0.0
previous_water_usage_liters,0.0,22.17,22.17,-33.255,55.425000000000004,0,0.0
